"","X10","X30","X50","X70","X90","X0.9","X1.0","X1.1","X1.2","X1.3","DelayRising","DelayFalling","WorstCase","expectedDelayCor","resultDelayCor","abs(errorCor)"
"145",0,18,0,0,82,0,18,0,0,82,2.68217e-11,2.3319e-11,2.68217e-11,2.68217e-11,2.69431e-11,0.452618588680065
"146",23,7,27,0,43,23,7,27,0,43,2.46109e-11,2.28669e-11,2.46109e-11,2.46109e-11,2.42534e-11,1.45260839709235
"147",10,0,18,36,36,10,0,18,36,36,2.45116e-11,2.28015e-11,2.45116e-11,2.45116e-11,2.43003e-11,0.862040829648003
"148",0,32,0,68,0,0,32,0,68,0,2.0867e-11,1.85201e-11,2.0867e-11,2.0867e-11,2.10756e-11,0.999664542099965
"150",0,72,28,0,0,0,72,28,0,0,1.4772e-11,1.34808e-11,1.4772e-11,1.4772e-11,1.61452e-11,9.29596533983212
"151",0,0,53,0,47,0,0,53,0,47,2.6419e-11,2.16633e-11,2.6419e-11,2.6419e-11,2.57466e-11,2.54513796888602
"152",19,14,16,41,10,19,14,16,41,10,2.17907e-11,2.05593e-11,2.17907e-11,2.17907e-11,2.2764e-11,4.46658436856089
"153",0,3,31,25,41,0,3,31,25,41,2.55173e-11,2.22837e-11,2.55173e-11,2.55173e-11,2.5227e-11,1.13765954861996
"154",13,30,31,21,5,13,30,31,21,5,2.00099e-11,1.90524e-11,2.00099e-11,2.00099e-11,2.05892e-11,2.89506694186377
"156",2,48,2,34,14,2,48,2,34,14,2.22631e-11,2.09273e-11,2.22631e-11,2.22631e-11,2.39132e-11,7.41181596453324
"157",0,39,32,29,0,0,39,32,29,0,1.94471e-11,1.72356e-11,1.94471e-11,1.94471e-11,1.97458e-11,1.53596166009327
"158",20,13,7,34,26,20,13,7,34,26,2.36884e-11,2.21242e-11,2.36884e-11,2.36884e-11,2.42394e-11,2.32603299505243
"159",47,44,1,8,0,47,44,1,8,0,1.49998e-11,1.48718e-11,1.49998e-11,1.49998e-11,1.61586e-11,7.72543633915117
"160",20,3,29,48,0,20,3,29,48,0,1.96817e-11,1.87886e-11,1.96817e-11,1.96817e-11,2.1057e-11,6.98770939502178
"161",29,22,0,27,22,29,22,0,27,22,2.31545e-11,2.16798e-11,2.31545e-11,2.31545e-11,2.32683e-11,0.491481137575844
"162",34,24,0,14,28,34,24,0,14,28,2.35412e-11,2.19843e-11,2.35412e-11,2.35412e-11,2.40176e-11,2.02368613324724
"163",0,0,0,86,14,0,0,0,86,14,2.51378e-11,1.92779e-11,2.51378e-11,2.51378e-11,2.50183e-11,0.475379707054713
