"","X10","X30","X50","X70","X90","X0.9","X1.0","X1.1","X1.2","X1.3","WorstCase","expectedDelayEucl","resultDelayEucl","abs(errorEucl)"
"100",0,52,17,30,1,0,52,17,30,1,1.10837e-12,1.10837e-12,1.10636e-12,0.181347383996333
"101",30,21,10,23,16,30,21,10,23,16,2.00647e-12,2.00647e-12,2.00728e-12,0.0403694049748937
"102",0,20,30,27,23,0,20,30,27,23,1.23873e-12,1.23873e-12,1.246e-12,0.586891412979429
"103",0,14,23,35,28,0,14,23,35,28,1.25735e-12,1.25735e-12,2.05539e-12,63.4699964210443
"104",31,15,52,2,0,31,15,52,2,0,1.82972e-12,1.82972e-12,1.82207e-12,0.418096757973896
"105",0,83,0,0,17,0,83,0,0,17,1.19406e-12,1.19406e-12,1.16346e-12,2.56268529219638
"106",0,25,46,0,29,0,25,46,0,29,1.24738e-12,1.24738e-12,2.04293e-12,63.7776780131155
"107",27,0,61,0,12,27,0,61,0,12,1.96959e-12,1.96959e-12,1.82207e-12,7.4898836813753
"108",0,7,56,37,0,0,7,56,37,0,1.10913e-12,1.10913e-12,1.95687e-12,76.4328798247275
"109",20,32,30,18,0,20,32,30,18,0,1.87632e-12,1.87632e-12,1.93818e-12,3.296878997186
"110",16,26,39,19,0,16,26,39,19,0,1.87999e-12,1.87999e-12,1.93818e-12,3.09522922994272
"111",33,37,0,1,29,33,37,0,1,29,2.04501e-12,2.04501e-12,2.06012e-12,0.738871692558951
"112",88,12,0,0,0,88,12,0,0,0,1.74959e-12,1.74959e-12,1.94828e-12,11.3563749221246
"113",11,37,6,26,20,11,37,6,26,20,2.02515e-12,2.02515e-12,2.00498e-12,0.995975606745192
"114",0,65,0,18,17,0,65,0,18,17,1.20814e-12,1.20814e-12,1.24438e-12,2.99965235817041
"115",0,49,49,2,0,0,49,49,2,0,1.02631e-12,1.02631e-12,1.01557e-12,1.04646744161121
"116",21,12,26,21,20,21,12,26,21,20,2.02359e-12,2.02359e-12,2.03168e-12,0.399784541334958
"117",10,65,4,21,0,10,65,4,21,0,1.8773e-12,1.8773e-12,1.86403e-12,0.706866244073934
"119",0,81,10,9,0,0,81,10,9,0,1.04149e-12,1.04149e-12,1.15054e-12,10.4705758096573
"120",49,0,24,0,27,49,0,24,0,27,2.03878e-12,2.03878e-12,2.0719e-12,1.624500927025
"121",28,10,62,0,0,28,10,62,0,0,1.82207e-12,1.82207e-12,1.82972e-12,0.419852146185384
"122",0,52,41,7,0,0,52,41,7,0,1.04571e-12,1.04571e-12,1.02631e-12,1.85519886010461
"123",29,34,0,32,5,29,34,0,32,5,1.94621e-12,1.94621e-12,1.98169e-12,1.82303040268006
"124",90,0,0,0,10,90,0,0,0,10,1.94828e-12,1.94828e-12,1.96993e-12,1.11123657790462
"126",27,19,17,37,0,27,19,17,37,0,1.90627e-12,1.90627e-12,1.90556e-12,0.0372455108667902
"127",16,28,0,0,56,16,28,0,0,56,2.1077e-12,2.1077e-12,2.09627e-12,0.542297290885807
"128",27,16,10,20,27,27,16,10,20,27,2.04785e-12,2.04785e-12,2.03651e-12,0.553751495470856
"129",0,2,47,34,17,0,2,47,34,17,1.21847e-12,1.21847e-12,1.97504e-12,62.0918036554039
