"","X10","X30","X50","X70","X90","X0.9","X1.0","X1.1","X1.2","X1.3","WorstCase","expectedDelayCor","resultDelayCor","abs(errorCor)"
"93",23,3,0,37,37,23,3,0,37,37,4.68351e-12,4.68351e-12,4.73943e-12,1.19397631263733
"94",37,0,0,57,6,37,0,0,57,6,4.25524e-12,4.25524e-12,4.06425e-12,4.48834848328179
"95",23,40,37,0,0,23,40,37,0,0,3.36992e-12,3.36992e-12,4.01984e-12,19.2859177665939
"96",23,39,17,0,21,23,39,17,0,21,4.38262e-12,4.38262e-12,4.1503e-12,5.30093870789619
"97",22,0,0,15,63,22,0,0,15,63,4.82364e-12,4.82364e-12,4.80495e-12,0.387466726372621
"98",13,9,23,50,5,13,9,23,50,5,4.21813e-12,4.21813e-12,4.06245e-12,3.69073499394281
"99",0,63,0,37,0,0,63,0,37,0,3.22571e-12,3.22571e-12,4.37365e-12,35.5872040574013
"100",0,52,17,30,1,0,52,17,30,1,3.24339e-12,3.24339e-12,3.25635e-12,0.399581918918179
"101",30,21,10,23,16,30,21,10,23,16,4.38093e-12,4.38093e-12,4.38593e-12,0.114131017843255
"102",0,20,30,27,23,0,20,30,27,23,3.92286e-12,3.92286e-12,3.95775e-12,0.889402119881932
"103",0,14,23,35,28,0,14,23,35,28,4.01576e-12,4.01576e-12,4.59119e-12,14.3292925872064
"104",31,15,52,2,0,31,15,52,2,0,3.51011e-12,3.51011e-12,3.46909e-12,1.16862434510598
"105",0,83,0,0,17,0,83,0,0,17,3.63088e-12,3.63088e-12,3.44477e-12,5.1257546379941
"106",0,25,46,0,29,0,25,46,0,29,3.94008e-12,3.94008e-12,4.51321e-12,14.5461513471808
"108",0,7,56,37,0,0,7,56,37,0,3.2893e-12,3.2893e-12,4.12154e-12,25.3014319156051
"110",16,26,39,19,0,16,26,39,19,0,3.81566e-12,3.81566e-12,4.08087e-12,6.95056687440705
"111",33,37,0,1,29,33,37,0,1,29,4.51182e-12,4.51182e-12,4.57553e-12,1.4120687438772
"112",88,12,0,0,0,88,12,0,0,0,2.67382e-12,2.67382e-12,2.52401e-12,5.60284536730222
"113",11,37,6,26,20,11,37,6,26,20,4.46253e-12,4.46253e-12,3.8381e-12,13.9927350628455
"114",0,65,0,18,17,0,65,0,18,17,3.74838e-12,3.74838e-12,3.93786e-12,5.0549837529813
"115",0,49,49,2,0,0,49,49,2,0,2.77381e-12,2.77381e-12,2.70635e-12,2.43203391724739
"116",21,12,26,21,20,21,12,26,21,20,4.45528e-12,4.45528e-12,4.49478e-12,0.886588497243723
"117",10,65,4,21,0,10,65,4,21,0,3.77828e-12,3.77828e-12,2.82455e-12,25.2424383581947
"118",27,0,61,0,12,27,0,61,0,12,4.18941e-12,4.18941e-12,3.49919e-12,16.4753509444051
"119",0,81,10,9,0,0,81,10,9,0,2.82455e-12,2.82455e-12,2.29518e-12,18.7417464728895
"120",49,0,24,0,27,49,0,24,0,27,4.49003e-12,4.49003e-12,4.48076e-12,0.206457417879158
"121",28,10,62,0,0,28,10,62,0,0,3.46909e-12,3.46909e-12,3.51011e-12,1.18244265787282
