"","X10","X30","X50","X70","X90","X0.9","X1.0","X1.1","X1.2","X1.3","WorstCase","expectedDelayPLS","resultDelayPLS","abs(errorPLS)"
"114",0,65,0,18,17,0,65,0,18,17,3.74838e-12,3.74838e-12,3.66957183061067e-12,2.10245944619616
"115",0,49,49,2,0,0,49,49,2,0,2.77381e-12,2.77381e-12,3.24679736744831e-12,17.051902165192
"116",21,12,26,21,20,21,12,26,21,20,4.45528e-12,4.45528e-12,4.15591749728493e-12,6.71927471932341
"117",10,65,4,21,0,10,65,4,21,0,3.77828e-12,3.77828e-12,3.36267309820259e-12,10.9998968260006
"118",27,0,61,0,12,27,0,61,0,12,4.18941e-12,4.18941e-12,3.91619334988702e-12,6.52160208986428
"119",0,81,10,9,0,0,81,10,9,0,2.82455e-12,2.82455e-12,3.13353087342974e-12,10.9391185650719
"120",49,0,24,0,27,49,0,24,0,27,4.49003e-12,4.49003e-12,4.38717427962368e-12,2.29075797659081
"121",28,10,62,0,0,28,10,62,0,0,3.46909e-12,3.46909e-12,3.5970078114612e-12,3.68735926312669
"122",0,52,41,7,0,0,52,41,7,0,2.88497e-12,2.88497e-12,3.26809022409866e-12,13.2798685635781
"123",29,34,0,32,5,29,34,0,32,5,4.12285e-12,4.12285e-12,3.82843486030681e-12,7.14105872620127
"124",90,0,0,0,10,90,0,0,0,10,4.02922e-12,4.02922e-12,4.2400118373981e-12,5.23157924854194
"125",20,32,30,18,0,20,32,30,18,0,3.78848e-12,3.78848e-12,3.56910984462988e-12,5.79045304106445
"128",27,16,10,20,27,27,16,10,20,27,4.5516e-12,4.5516e-12,4.32275687347887e-12,5.02775126375621
"129",0,2,47,34,17,0,2,47,34,17,3.83163e-12,3.83163e-12,4.11135477821155e-12,7.30041204948155
"131",0,66,0,0,34,0,66,0,0,34,3.99628e-12,3.99628e-12,3.91976303171698e-12,1.91470488261636
"132",43,6,12,39,0,43,6,12,39,0,3.97145e-12,3.97145e-12,3.99206603681686e-12,0.519106039780359
"133",27,21,15,0,37,27,21,15,0,37,4.61785e-12,4.61785e-12,4.37807838907797e-12,5.19227802813053
"134",54,46,0,0,0,54,46,0,0,0,2.87319e-12,2.87319e-12,3.56418614744242e-12,24.0497895176587
"135",0,88,0,0,12,0,88,0,0,12,3.44477e-12,3.44477e-12,3.30496835370519e-12,4.05837389128489
"136",27,19,17,37,0,27,19,17,37,0,3.96511e-12,3.96511e-12,3.8166468115072e-12,3.74423883556313
"137",18,41,33,0,8,18,41,33,0,8,4.01984e-12,4.01984e-12,3.56121328782355e-12,11.4090787736937
"139",37,7,16,2,38,37,7,16,2,38,4.63361e-12,4.63361e-12,4.54626038513086e-12,1.88513092101279
"140",0,0,40,60,0,0,0,40,60,0,3.83547e-12,3.83547e-12,3.92508263915978e-12,2.33641872208037
"141",6,0,31,0,63,6,0,31,0,63,4.81228e-12,4.81228e-12,4.9557821887561e-12,2.98199998246365
"142",0,39,27,34,0,0,39,27,34,0,3.23801e-12,3.23801e-12,3.53335343437055e-12,9.1211402796948
"143",16,28,0,0,56,16,28,0,0,56,4.76983e-12,4.76983e-12,4.71072373798952e-12,1.23916915299872
"144",30,8,27,35,0,30,8,27,35,0,3.95829e-12,3.95829e-12,3.87615792701062e-12,2.07493824326624
"145",0,18,0,0,82,0,18,0,0,82,4.36833e-12,4.36833e-12,5.26113323828816e-12,20.4380904896875
"146",23,7,27,0,43,23,7,27,0,43,4.68042e-12,4.68042e-12,4.56346779524241e-12,2.49875448693896
"147",10,0,18,36,36,10,0,18,36,36,4.67633e-12,4.67633e-12,4.62815150820807e-12,1.03026287263589
"148",0,32,0,68,0,0,32,0,68,0,3.45327e-12,3.45327e-12,3.81916269834168e-12,10.5955427273767
"150",0,72,28,0,0,0,72,28,0,0,2.5849e-12,2.5849e-12,3.11373162268158e-12,20.4584944362097
"151",0,0,53,0,47,0,0,53,0,47,4.5766e-12,4.5766e-12,4.55582252788301e-12,0.45399362227404
"152",19,14,16,41,10,19,14,16,41,10,4.31443e-12,4.31443e-12,4.0528420458998e-12,6.06309417698737
