"","X10","X30","X50","X70","X90","X0.9","X1.0","X1.1","X1.2","X1.3","WorstCase","expectedDelayPLS","resultDelayPLS","abs(errorPLS)"
"115",0,49,49,2,0,0,49,49,2,0,1.02631e-12,1.02631e-12,1.40008106664541e-12,36.418924754256
"116",21,12,26,21,20,21,12,26,21,20,2.02359e-12,2.02359e-12,1.84329118150128e-12,8.90984925299708
"117",10,65,4,21,0,10,65,4,21,0,1.8773e-12,1.8773e-12,1.42774301595757e-12,23.9469974986648
"119",0,81,10,9,0,0,81,10,9,0,1.04149e-12,1.04149e-12,1.27654606503173e-12,22.5692099810587
"120",49,0,24,0,27,49,0,24,0,27,2.03878e-12,2.03878e-12,2.16185840698411e-12,6.03686552664364
"121",28,10,62,0,0,28,10,62,0,0,1.82207e-12,1.82207e-12,1.79022685850233e-12,1.7476354639323
"122",0,52,41,7,0,0,52,41,7,0,1.04571e-12,1.04571e-12,1.38977384085551e-12,32.9024147091941
"123",29,34,0,32,5,29,34,0,32,5,1.94621e-12,1.94621e-12,1.74245349358002e-12,10.469399829411
"124",90,0,0,0,10,90,0,0,0,10,1.94828e-12,1.94828e-12,2.41283188984396e-12,23.844205650315
"126",27,19,17,37,0,27,19,17,37,0,1.90627e-12,1.90627e-12,1.75727031172323e-12,7.81629508289847
"127",16,28,0,0,56,16,28,0,0,56,2.1077e-12,2.1077e-12,1.93740416324055e-12,8.07969999333149
"128",27,16,10,20,27,27,16,10,20,27,2.04785e-12,2.04785e-12,1.91818894502312e-12,6.33156993807534
"129",0,2,47,34,17,0,2,47,34,17,1.21847e-12,1.21847e-12,1.69097146128122e-12,38.7782597258215
"130",54,46,0,0,0,54,46,0,0,0,1.76309e-12,1.76309e-12,1.86963506400699e-12,6.04308708046597
"131",0,66,0,0,34,0,66,0,0,34,1.26106e-12,1.26106e-12,1.52686702924003e-12,21.078063632185
"132",43,6,12,39,0,43,6,12,39,0,1.90796e-12,1.90796e-12,1.94468962892038e-12,1.92507332021525
"133",27,21,15,0,37,27,21,15,0,37,2.06914e-12,2.06914e-12,1.94978475405697e-12,5.76835042302741
"135",0,88,0,0,12,0,88,0,0,12,1.16346e-12,1.16346e-12,1.31493644785744e-12,13.0194805027626
"137",18,41,33,0,8,18,41,33,0,8,1.93775e-12,1.93775e-12,1.62934898016239e-12,15.915418389246
"138",19,14,16,41,10,19,14,16,41,10,1.98637e-12,1.98637e-12,1.76724637254346e-12,11.0313600918531
"139",37,7,16,2,38,37,7,16,2,38,2.07254e-12,2.07254e-12,2.09590763928314e-12,1.12748797529292
"140",0,0,40,60,0,0,0,40,60,0,1.74506e-12,1.74506e-12,1.60940175847389e-12,7.7738439667467
"141",6,0,31,0,63,6,0,31,0,63,2.11793e-12,2.11793e-12,2.00237124681673e-12,5.45621211198073
"142",0,39,27,34,0,0,39,27,34,0,1.10344e-12,1.10344e-12,1.44871419773501e-12,31.2907088500521
"144",30,8,27,35,0,30,8,27,35,0,1.90477e-12,1.90477e-12,1.8253194566066e-12,4.17113580082612
"145",0,18,0,0,82,0,18,0,0,82,1.33612e-12,1.33612e-12,1.98926102498387e-12,48.8834105457496
"146",23,7,27,0,43,23,7,27,0,43,2.08405e-12,2.08405e-12,2.00502799940262e-12,3.79175166610095
"147",10,0,18,36,36,10,0,18,36,36,2.07733e-12,2.07733e-12,1.89275300983093e-12,8.88529940688619
"148",0,32,0,68,0,0,32,0,68,0,1.13225e-12,1.13225e-12,1.48616009340384e-12,31.2572394262613
"150",0,0,53,0,47,0,0,53,0,47,2.10026e-12,2.10026e-12,1.86010445339601e-12,11.4345627019506
"151",0,72,28,0,0,0,72,28,0,0,1.00185e-12,1.00185e-12,1.30922776166318e-12,30.6810162861886
"153",0,3,31,25,41,0,3,31,25,41,1.2877e-12,1.2877e-12,1.82141252602681e-12,41.4469617167671
"154",13,30,31,21,5,13,30,31,21,5,1.93818e-12,1.93818e-12,1.6191129623691e-12,16.4621984351765
"156",2,48,2,34,14,2,48,2,34,14,2.0026e-12,2.0026e-12,1.51028902800388e-12,24.5835899328931
"157",0,39,32,29,0,0,39,32,29,0,1.09661e-12,1.09661e-12,1.44724751501687e-12,31.9746778724311
"158",20,13,7,34,26,20,13,7,34,26,2.04944e-12,2.04944e-12,1.86894307948174e-12,8.80713368131093
"159",47,44,1,8,0,47,44,1,8,0,1.83463e-12,1.83463e-12,1.8204131151098e-12,0.774918369927569
"160",20,3,29,48,0,20,3,29,48,0,1.91901e-12,1.91901e-12,1.76387327882778e-12,8.08420597976147
"161",29,22,0,27,22,29,22,0,27,22,2.03293e-12,2.03293e-12,1.88512817017442e-12,7.27038460869697
"162",34,24,0,14,28,34,24,0,14,28,2.0481e-12,2.0481e-12,1.95015832206681e-12,4.78207499307594
"163",28,13,22,14,23,28,13,22,14,23,2.03168e-12,2.03168e-12,1.91385681933739e-12,5.79929815042761
"164",18,0,0,67,15,18,0,0,67,15,2.01793e-12,2.01793e-12,1.84987261605599e-12,8.32820682303226
"165",16,29,26,22,7,16,29,26,22,7,1.95462e-12,1.95462e-12,1.66021289934053e-12,15.0621144089118
"166",35,7,15,27,16,35,7,15,27,16,2.0089e-12,2.0089e-12,1.96067592047836e-12,2.40052165471871
"167",0,72,27,0,1,0,72,27,0,1,1.03663e-12,1.03663e-12,1.3149363337385e-12,26.8472197156649
"168",0,0,100,0,0,0,0,100,0,0,1.42963e-12,1.42963e-12,1.59180156585612e-12,11.3436039993647
"169",25,0,75,0,0,25,0,75,0,0,1.8252e-12,1.8252e-12,1.80400840008797e-12,1.16105631777503
"170",44,5,18,28,5,44,5,18,28,5,1.94411e-12,1.94411e-12,1.98241869685566e-12,1.9705004786591
"171",52,0,42,0,6,52,0,42,0,6,1.91966e-12,1.91966e-12,2.06744321351027e-12,7.69840562965693
"172",0,58,31,0,11,0,58,31,0,11,1.16049e-12,1.16049e-12,1.42696696086251e-12,22.9624521419844
"173",43,48,6,0,3,43,48,6,0,3,1.87277e-12,1.87277e-12,1.78554050083223e-12,4.65777960816169
"175",65,35,0,0,0,65,35,0,0,0,1.76002e-12,1.76002e-12,2.00617706893181e-12,13.9860381661465
"176",7,0,26,34,33,7,0,26,34,33,2.06965e-12,2.06965e-12,1.8495758004099e-12,10.6334017631049
"177",20,24,31,25,0,20,24,31,25,0,1.89025e-12,1.89025e-12,1.67470917876803e-12,11.4027679530207
